order_id,order_date,store_id,sales_channel,sku_code,quantity,price
1,2025-11-22 00:44:16.412583,1,POS,SKU094,1,463160
2,2025-10-29 00:44:16.412583,4,ECOMMERCE,SKU064,1,452801
3,2025-11-29 00:44:16.412583,4,ECOMMERCE,SKU088,1,423165
4,2025-12-22 00:44:16.412583,3,FACEBOOK,SKU044,1,581490
5,2025-12-03 00:44:16.412583,4,ECOMMERCE,SKU020,3,462913
6,2025-11-07 00:44:16.412583,3,FACEBOOK,SKU075,3,280077
7,2025-12-30 00:44:16.412583,4,ECOMMERCE,SKU027,2,303355
8,2025-11-23 00:44:16.412583,2,WEB,SKU059,2,439629
9,2025-11-30 00:44:16.412583,4,ECOMMERCE,SKU009,1,254886
10,2025-11-28 00:44:16.412583,2,WEB,SKU035,3,546622
11,2025-10-19 00:44:16.412583,1,POS,SKU034,2,356730
12,2025-10-25 00:44:16.412583,3,FACEBOOK,SKU051,3,531236
13,2025-12-05 00:44:16.412583,1,POS,SKU008,3,407892
14,2025-10-18 00:44:16.412583,2,WEB,SKU063,1,268148
15,2025-11-05 00:44:16.412583,1,POS,SKU053,2,241606
16,2025-11-13 00:44:16.412583,4,ECOMMERCE,SKU019,3,264820
17,2025-11-04 00:44:16.412583,2,WEB,SKU071,1,456508
18,2025-11-06 00:44:16.412583,4,ECOMMERCE,SKU014,3,375203
19,2025-11-08 00:44:16.412583,2,WEB,SKU095,3,255591
20,2025-12-14 00:44:16.412583,1,POS,SKU081,3,541097
21,2025-12-02 00:44:16.412583,3,FACEBOOK,SKU046,1,519030
22,2025-11-27 00:44:16.412583,2,WEB,SKU039,3,202747
23,2025-12-01 00:44:16.412583,3,FACEBOOK,SKU049,2,578360
24,2025-11-12 00:44:16.412583,2,WEB,SKU028,3,435796
25,2025-12-09 00:44:16.412583,1,POS,SKU080,2,440181
26,2025-11-28 00:44:16.412583,2,WEB,SKU091,2,240397
27,2025-10-25 00:44:16.412583,2,WEB,SKU012,3,574871
28,2025-10-31 00:44:16.412583,2,WEB,SKU092,3,457750
29,2025-11-19 00:44:16.412583,2,WEB,SKU022,1,394027
30,2025-11-22 00:44:16.412583,1,POS,SKU022,1,394027
31,2025-11-10 00:44:16.412583,2,WEB,SKU090,3,211534
